
 seq 3013476:3013696, ack 1765, win 501, length 220
17:51:35.476713 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3013696:3013916, ack 1765, win 501, length 220
17:51:35.476806 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3013916:3014136, ack 1765, win 501, length 220
17:51:35.476901 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3014136:3014356, ack 1765, win 501, length 220
17:51:35.477005 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3014356:3014576, ack 1765, win 501, length 220
17:51:35.477099 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3014576:3014796, ack 1765, win 501, length 220
17:51:35.477191 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3014796:3015016, ack 1765, win 501, length 220
17:51:35.477287 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3015016:3015236, ack 1765, win 501, length 220
17:51:35.477378 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3015236:3015456, ack 1765, win 501, length 220
17:51:35.477472 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3015456:3015676, ack 1765, win 501, length 220
17:51:35.477568 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > cpef85e42f6a6ce-cmf85e42f6a6cc.cpe.net.cable.rogers.com.61067: Flags [P.], seq 3015676:3015896, ack 1765, win 501, length 220
