
17:49:37.415440 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14630832:14630996, ack 7921, win 501, length 164
17:49:37.415502 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14630996:14631160, ack 7921, win 501, length 164
17:49:37.415556 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14631160:14631324, ack 7921, win 501, length 164
17:49:37.415609 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14631324:14631488, ack 7921, win 501, length 164
17:49:37.415666 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14631488:14631652, ack 7921, win 501, length 164
17:49:37.415723 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14631652:14631816, ack 7921, win 501, length 164
17:49:37.415777 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14631816:14631980, ack 7921, win 501, length 164
17:49:37.415830 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14631980:14632144, ack 7921, win 501, length 164
17:49:37.415886 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14632144:14632308, ack 7921, win 501, length 164
17:49:37.415943 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14632308:14632472, ack 7921, win 501, length 164
17:49:37.416019 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14632472:14632636, ack 7921, win 501, length 164
17:49:37.416073 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14632636:14632800, ack 7921, win 501, length 164
17:49:37.416133 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14632800:14632964, ack 7921, win 501, length 164
17:49:37.416196 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14632964:14633128, ack 7921, win 501, length 164
17:49:37.416285 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14633128:14633292, ack 7921, win 501, length 164
17:49:37.416349 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14633292:14633456, ack 7921, win 501, length 164
17:49:37.416403 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14633456:14633620, ack 7921, win 501, length 164
17:49:37.416460 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14633620:14633784, ack 7921, win 501, length 164
17:49:37.416512 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14633784:14633948, ack 7921, win 501, length 164
17:49:37.416568 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14633948:14634112, ack 7921, win 501, length 164
17:49:37.416623 IP 134.122.33.1.22 > 99.247.177.75.61067: Flags [P.], seq 14634112:14634276, ack 7921, win 501, length 164
